2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.8125,0.875,0.75,0.875,0.9375,0.875,0.875,1.0,0.8125,0.875,0.875,0.9375,0.8125,0.8125,0.75,0.9375,0.875,0.8125
0.75,0.8125,0.75,0.8125,0.875,0.8125,0.8125,0.8125,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.8125,0.8125,0.8125
0.75,0.8125,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.75,0.8125,0.75,0.8125,0.75,0.75,0.75,0.75,0.75,0.8125
0.75,0.75,0.6875,0.75,0.75,0.75,0.75,0.8125,0.75,0.75,0.75,0.8125,0.75,0.75,0.75,0.75,0.75,0.8125
0.6875,0.75,0.6875,0.75,0.75,0.6875,0.75,0.6875,0.75,0.6875,0.6875,0.75,0.6875,0.75,0.75,0.75,0.6875,0.6875
